PLAYER_ID	GP	GS	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS
1629121	34	1	428.0	38	110	0.345454	25	74	0.337837	7	9	0.777777	11	49	60	65	14	5	28	45	108
203919	32	0	263.0	37	92	0.402173	10	26	0.384615	17	28	0.607142	9	21	30	19	19	7	16	26	101
149	653	510	20446.0	3257	7849	0.414957	949	2857	0.332166	2158	2543	0.848604	416	1484	1900	4209	1081	67	1402	1193	9621
203500	511	447	13701.0	2072	3516	0.589306	0	8	0.0	840	1512	0.555555	1765	2088	3853	583	448	514	727	1345	4984
912	379	54	5695.0	920	2047	0.449438	69	245	0.281632	277	359	0.771587	262	518	780	339	148	83	284	671	2186
1628389	200	96	4975.0	752	1340	0.561194	4	33	0.121212	470	658	0.714285	408	1080	1488	523	162	163	320	461	1978
1629061	19	3	194.0	11	36	0.305555	6	23	0.260869	4	4	1.0	3	16	19	5	1	4	6	13	32
76015	462		10427.0	1381	3330	0.414714				817	1146	0.712914	41	123	1129	1606	106	9		990	3579
202399	153	17	2149.0	264	557	0.473967	0	2	0.0	181	288	0.628472	221	438	659	100	50	79	91	259	709
201167	762	537	20829.0	2983	6633	0.449721	852	2205	0.386394	1380	1673	0.824865	334	1842	2176	1386	341	141	852	1481	8198
200772	82	4	506.0	64	189	0.338624	11	44	0.25	30	53	0.566037	8	38	46	19	6	6	29	65	169
76016	923	639	27730.0	7201	14865	0.484426	392	1258	0.311605	3664	4944	0.7411	1704	2874	4578	2871	687	296	2306	2599	18458
201336	19	0	226.0	21	77	0.272727	14	47	0.297872	32	33	0.969696	1	21	22	22	7	0	22	27	88
76017	1042	508	27755.0	4643	9905	0.468753	1002	2651	0.37797	1676	1980	0.846464	695	2073	2768	4199	1133	132	1566	2549	11964
201582	293	76	3904.0	645	1283	0.502727	12	42	0.285714	251	315	0.796825	346	804	1150	143	102	181	249	661	1553
76018	86		712.0	129	367	0.351498				46	68	0.67647			177	39				130	304
203006	3	0	9.0	2	4	0.5	1	2	0.5	0	0	0.0	0	1	1	1	0	0	0	3	5
1629152	7	0	22.0	3	10	0.3	0	4	0.0	1	2	0.5	1	3	4	6	2	0	2	4	7
202374	26	0	181.0	16	51	0.313725	0	0	0.0	7	10	0.7	22	39	61	5	4	11	8	16	39
76019	325	41	5500.0	1037	2184	0.474816	34	135	0.251851	324	418	0.775119	438	682	1120	363	132	109	309	712	2432
76020	78		844.0	103	352	0.292613				55	92	0.597826			329	24				170	261
203128	41	9	540.0	40	78	0.51282	0	5	0.0	13	27	0.481481	78	98	176	28	17	16	17	96	93
202332	339	23	3388.0	435	825	0.527272	0	0	0.0	180	244	0.737704	334	797	1131	183	137	233	199	509	1050
200746	995	954	34251.0	7861	15980	0.491927	174	552	0.315217	3559	4386	0.811445	2669	5637	8306	1964	723	1101	1559	2456	19455
76021	74	4	1114.0	161	337	0.477744	0	1	0.0	55	75	0.733333	87	183	270	36	15	15	72	171	377
1626146	8	0	36.0	5	10	0.5	0	0	0.0	0	0	0.0	2	4	6	0	1	2	1	1	10
724	307	35	4840.0	587	1508	0.389257	237	669	0.35426	266	352	0.755681	78	403	481	834	263	37	467	514	1677
2042	187	59	3157.0	655	1552	0.422036	41	121	0.338842	339	417	0.812949	124	285	409	227	111	18	203	377	1690
76022	11	0	55.0	8	14	0.571428	0	0	0.0	3	9	0.333333	7	8	15	2	3	0	8	10	19
201570	67	0	745.0	103	251	0.410358	16	47	0.340425	60	86	0.697674	46	74	120	44	16	30	52	116	282
2349	286	155	5755.0	1101	2126	0.517873	18	63	0.285714	322	508	0.633858	446	938	1384	257	135	177	378	713	2542
1629638	39	0	494.0	77	225	0.342222	40	117	0.34188	17	28	0.607142	7	71	78	73	11	7	38	43	211
76024	169	3	1641.0	291	634	0.45899	35	108	0.324074	127	146	0.869863	25	119	144	176	85	10	89	113	744
1628959	10	1	120.0	13	39	0.333333	3	12	0.25	8	12	0.666666	11	15	26	13	1	0	8	7	37
76028	27		232.0	14	43	0.325581				20	36	0.555555			56	10				27	48
1628960	68	2	914.0	146	354	0.412429	65	190	0.342105	75	95	0.789473	8	81	89	68	12	7	56	83	432
1628386	201	156	4869.0	786	1299	0.60508	11	65	0.16923	433	619	0.699515	486	1047	1533	229	103	281	243	451	2016
706	117	1	1306.0	114	326	0.349693	40	126	0.31746	68	108	0.629629	30	93	123	201	52	9	103	126	336
1628443	47	2	640.0	90	207	0.434782	22	63	0.349206	56	74	0.756756	14	57	71	109	24	8	43	68	258
202730	388	87	6905.0	828	1758	0.470989	2	15	0.133333	189	277	0.68231	715	1128	1843	384	120	214	257	706	1847
76027	702		20159.0	3884	8385	0.463208				1639	2157	0.759851	381	928	2205	3174	604	124	247	1799	9407
2124	478	125	7265.0	1039	2365	0.439323	3	16	0.1875	253	325	0.778461	466	887	1353	228	130	220	320	897	2334
76025	70	6	789.0	114	258	0.44186	0	8	0.0	24	45	0.533333	52	93	145	23	17	20	30	109	252
951	1300	1149	46349.0	8567	18955	0.451965	2973	7429	0.400188	4398	4920	0.893902	1230	4042	5272	4361	1451	244	2709	2858	24505
2754	820	441	18053.0	2588	5447	0.475123	125	444	0.281531	1353	1909	0.708748	1021	1863	2884	1077	1158	337	1118	1947	6654
76029	36		166.0	17	78	0.217948				33	61	0.540983			45	10				34	67
200984	3	0	10.0	1	4	0.25	0	0	0.0	1	2	0.5	0	1	1	0	0	0	0	1	3
76030	22	3	276.0	23	67	0.343283	0	1	0.0	13	22	0.590909	19	46	65	25	5	8	23	51	59
201165	38	1	360.0	43	113	0.38053	7	24	0.291666	26	35	0.742857	10	36	46	12	12	4	19	42	119
308	139	42	2657.0	318	650	0.48923	1	7	0.142857	114	234	0.487179	228	297	525	94	95	87	112	298	751
1747	671	452	19390.0	2450	6391	0.383351	996	2815	0.353818	903	1238	0.729402	247	1644	1891	3202	813	105	1195	1408	6799
1824	2	0	5.0	1	2	0.5	0	0	0.0	0	0	0.0	1	1	2	0	1	1	2	4	2
680	294	93	4812.0	663	1646	0.402794	1	13	0.076923	510	760	0.671052	230	542	772	228	90	94	386	499	1837
732	85	34	1249.0	133	292	0.455479	1	2	0.5	112	177	0.632768	133	222	355	36	29	13	67	180	379
202329	688	431	17264.0	1910	4542	0.420519	535	1597	0.335003	893	1199	0.744787	960	3210	4170	848	659	388	835	1273	5248
200811	428	42	5506.0	648	1368	0.473684	0	3	0.0	268	603	0.444444	644	897	1541	190	152	306	299	835	1564
