PLAYER_ID	POSITION	GP	GS	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS
203078	Guard	530	496	18273.0	3984	8813	0.452059	1179	3118	0.378127	1762	2188	0.805301	440	1675	2115	2088	594	207	1182	1167	10909
1627736	Guard	206	19	3372.0	572	1289	0.443754	258	676	0.381656	119	147	0.809523	63	302	365	187	108	23	123	212	1521
201158	Guard	847	219	19336.0	2915	6878	0.423815	1195	3178	0.376022	1240	1468	0.844686	183	1561	1744	1418	484	64	845	1213	8265
1628395	Forward	152	16	1832.0	247	437	0.565217	2	15	0.133333	72	114	0.631578	143	326	469	192	57	117	111	189	568
1627761	Guard-Forward	189	23	3673.0	479	1070	0.447663	77	286	0.26923	138	233	0.592274	110	531	641	360	189	77	265	333	1173
1627733	Forward	178	64	3560.0	342	863	0.396292	172	533	0.322701	77	119	0.647058	97	570	667	218	50	102	186	346	933
202722	Forward	260	32	4699.0	661	1496	0.441844	452	1099	0.411282	190	222	0.855855	94	606	700	292	110	116	149	401	1964
201976	Guard	420	340	11880.0	1335	3226	0.413825	677	1790	0.378212	429	564	0.760638	495	1354	1849	1471	501	191	548	1321	3776
203920	Center	128	24	1969.0	211	385	0.548051	0	2	0.0	139	209	0.665071	217	325	542	107	49	70	63	196	561
1629048	Center-Forward	40	2	357.0	50	105	0.47619	4	24	0.166666	20	29	0.689655	21	65	86	19	2	27	21	50	124
202687	Center	626	267	12658.0	1205	2320	0.519396	0	2	0.0	791	1375	0.575272	1235	2677	3912	324	158	839	567	1387	3201
202357	Forward	319	139	6834.0	947	2034	0.465585	382	970	0.393814	239	309	0.773462	367	1122	1489	529	214	143	313	797	2515
202339	Guard	612	450	17024.0	3089	6763	0.456749	660	1962	0.336391	1842	2315	0.79568	502	1920	2422	2944	885	296	1604	1258	8680
203992	Guard	187	75	5218.0	912	2109	0.432432	365	971	0.375901	288	359	0.802228	84	503	587	652	180	40	315	396	2477
202711	Forward	448	331	12717.0	2226	4825	0.461347	842	2131	0.395119	1033	1207	0.85584	215	1335	1550	659	249	36	693	721	6327
1628413	Forward	48	10	653.0	82	165	0.496969	34	97	0.350515	13	29	0.448275	47	119	166	40	18	39	38	103	211
1629716	Center	1	0	3.0	0	0	0.0	0	0	0.0	0	0	0.0	0	2	2	0	1	0	0	1	0
1629648	Guard	7	0	26.0	2	12	0.166666	0	4	0.0	0	0	0.0	0	1	1	4	0	0	2	3	4
1629067	Guard	66	29	895.0	80	172	0.465116	14	44	0.318181	48	66	0.727272	58	111	169	62	38	18	37	112	222
1626164	Guard	320	295	10676.0	2452	5473	0.448017	620	1746	0.355097	1579	1824	0.865679	162	980	1142	1458	255	79	1048	984	7103
1628449	Forward-Center	72	0	726.0	130	283	0.459363	33	112	0.294642	77	99	0.777777	94	153	247	21	22	62	24	106	370
1628968	Forward-Guard	3	0	10.0	1	4	0.25	0	1	0.0	0	0	0.0	0	1	1	0	0	1	0	0	2
1629065	Guard	37	10	827.0	108	264	0.40909	31	90	0.344444	24	29	0.827586	18	76	94	105	36	5	49	83	271
202340	Guard	557	479	15758.0	2648	6072	0.4361	712	1968	0.361788	555	713	0.778401	355	1281	1636	986	566	114	790	1224	6563
1628396	Center-Forward	49	2	446.0	81	137	0.59124	0	1	0.0	22	35	0.628571	71	109	180	11	12	17	22	82	184
1629714	Forward	3	0	11.0	0	0	0.0	0	0	0.0	0	0	0.0	0	5	5	1	0	2	1	1	0
1629649	Forward	9	0	53.0	6	22	0.272727	1	9	0.111111	4	5	0.8	2	3	5	4	0	1	2	3	17
1628969	Forward	133	66	3702.0	387	853	0.453692	137	416	0.329326	163	202	0.80693	100	365	465	254	201	66	119	312	1074
1628970	Forward	131	75	3250.0	485	1075	0.451162	142	425	0.334117	131	169	0.775147	140	469	609	184	86	88	128	220	1243
1629052	Forward-Guard	16	0	120.0	12	32	0.375	3	13	0.230769	5	6	0.833333	8	14	22	4	4	1	7	17	32
1629151	Guard-Forward	57	1	613.0	77	177	0.435028	56	136	0.411764	22	27	0.814814	10	85	95	29	10	8	21	50	232
1627763	Guard	224	149	6379.0	1141	2401	0.475218	297	755	0.393377	438	488	0.89754	165	661	826	945	198	45	365	438	3017
